Diagnosed Diabetes; 45-64 (Age); Adults Aged 18+ Years; Percentage; U.S. States
Data downloaded on 30-January-2024
Year,State,Percentage,Lower Limit, Upper Limit
2000,Missouri,9,7.1,11.4
2000,Montana,5.4,3.9,7.4
2000,Nebraska,7.7,5.7,10.2
2000,Nevada,8.8,5.3,14.2
2000,New Hampshire,7.2,5.2,9.9
2000,New Jersey,8.8,7.1,10.9
2000,New Mexico,9.8,7.9,12.2
2000,New York,8.4,6.6,10.8
2000,North Carolina,9.1,7.3,11.3
2000,North Dakota,6.6,4.7,9.2
2000,Ohio,8.7,6.5,11.5
2000,Oklahoma,7.3,5.7,9.4
2000,Oregon,9.5,7.9,11.5
2000,Pennsylvania,9.1,7.3,11.3
2000,Rhode Island,8.8,7.1,10.9
2000,South Carolina,11.8,9.7,14.3
2000,South Dakota,7.6,6.2,9.2
2000,Tennessee,12.2,9.9,15
2000,Texas,11.6,9.9,13.7
2000,Utah,8.2,5.8,11.4
2000,Vermont,6.2,4.8,7.9
2000,Virginia,9.8,7.5,12.8
2000,Washington,7.2,5.8,9
2000,West Virginia,13,10.8,15.7
2000,Wisconsin,9.5,7.4,12
2000,Wyoming,6.9,5.1,9.2
2000,Puerto Rico,13.1,11.1,15.4
2000,Guam,No Data,No Data,No Data
2000,Virgin Islands of the U.S.,No Data,No Data,No Data
2001,Alabama,13.3,11.1,15.8
2001,Alaska,6.8,4.8,9.6
2001,Arizona,8.7,6.7,11.3
2001,Arkansas,11.2,9.1,13.7
2001,California,11.2,9,13.8
2001,Colorado,6.3,4.2,9.2
2001,Connecticut,8.5,7.3,9.9
2001,Delaware,9.9,8,12.2
2001,District of Columbia,11.4,8.8,14.8
2001,Florida,10.7,8.8,12.9
2001,Georgia,11.2,9.4,13.4
2001,Hawaii,7.9,6,10.2
2001,Idaho,7,5.7,8.7
2001,Illinois,10,8.1,12.2
2001,Indiana,9.4,7.8,11.3
2001,Iowa,6.3,5,8
2001,Kansas,7.5,6.2,9.1
2001,Kentucky,9.9,8.5,11.5
2001,Louisiana,11.4,9.7,13.3
2001,Maine,9.1,6.7,12.3
2001,Maryland,10.4,8.4,12.9
2001,Massachusetts,7.1,6,8.4
2001,Michigan,10.5,8.8,12.4
2001,Minnesota,5.2,4,6.7
2001,Mississippi,13.2,10.9,15.8
2001,Missouri,10.4,8.3,13.1
2001,Montana,7,5.3,9.3
2001,Nebraska,8.4,6.7,10.4
2001,Nevada,8.3,6.1,11.2
2001,New Hampshire,7.1,5.8,8.7
2001,New Jersey,10,8.3,11.9
2001,New Mexico,10.3,8.3,12.7
2001,New York,10,8.1,12.4
2001,North Carolina,10.8,8.9,13.1
2001,North Dakota,7.8,6,10.1
2001,Ohio,11,9,13.5
2001,Oklahoma,9.9,8.1,12
2001,Oregon,6.5,4.9,8.6
2001,Pennsylvania,9,7.3,11.1
2001,Rhode Island,8.1,6.4,10
2001,South Carolina,13.2,11.1,15.8
2001,South Dakota,8.1,6.7,9.8
2001,Tennessee,11.4,9,14.4
2001,Texas,10.8,9.3,12.5
2001,Utah,6.3,4.6,8.6
2001,Vermont,6.4,5.1,7.9
2001,Virginia,8.6,6.9,10.7
2001,Washington,8.1,6.6,10
2001,West Virginia,13.3,11,15.8
2001,Wisconsin,7.3,5.7,9.3
2001,Wyoming,5.5,4.2,7.1
2001,Guam,15.9,11.4,21.9
2001,Puerto Rico,16.5,14.1,19.3
2001,Virgin Islands of the U.S.,11.3,8.9,14.2
2002,Alabama,12.7,10.7,14.9
2002,Alaska,5.7,4.1,8
2002,Arizona,9.9,7.7,12.6
2002,Arkansas,10.5,8.8,12.4
2002,California,10.5,8.4,13.1
2002,Colorado,6.7,5.2,8.6
2002,Connecticut,7.1,5.7,8.7
2002,Delaware,12.1,9.7,15
2002,District of Columbia,11.7,9,15.1
2002,Florida,11.3,9.6,13.2
2002,Georgia,11.9,10.1,13.9
2002,Hawaii,7.2,5.9,8.8
2002,Idaho,7.3,5.9,8.8
2002,Illinois,10.8,9.2,12.8
2002,Indiana,10.7,9.2,12.5
2002,Iowa,8.2,6.6,10.1
2002,Kansas,10.2,8.7,11.9
2002,Kentucky,9.8,8.3,11.6
2002,Louisiana,10.5,8.8,12.4
2002,Maine,8.4,6.6,10.8
2002,Maryland,10.6,8.6,12.9
2002,Massachusetts,7.7,6.5,9.1
2002,Michigan,10.6,9.1,12.4
2002,Minnesota,6.6,5.3,8
2002,Mississippi,12.9,11,15
2002,Missouri,9.9,8.1,12.1
2002,Montana,6.9,5.2,9.1
2002,Nebraska,9,7.3,11.1
2002,Nevada,8.1,6.1,10.7
2002,New Hampshire,7.5,6.2,8.9
2002,New Jersey,7.7,5.8,10
2002,New Mexico,9.8,8.2,11.6
2002,New York,9.3,7.5,11.5
2002,North Carolina,10.2,8.6,12.1
2002,North Dakota,8.2,6.5,10.2
2002,Ohio,9.4,7.8,11.2
2002,Oklahoma,9.1,7.9,10.4
2002,Oregon,9.1,7.2,11.6
2002,Pennsylvania,8.7,7.7,9.9
2002,Rhode Island,6.7,5.3,8.5
2002,South Carolina,12.1,10.1,14.5
2002,South Dakota,8.4,6.8,10.3
2002,Tennessee,14,11.7,16.7
2002,Texas,12.4,10.8,14.3
2002,Utah,6.2,4.7,8.3
2002,Vermont,8.1,6.7,9.8
2002,Virginia,8.4,6.9,10.3
2002,Washington,8.7,6.9,10.8
2002,West Virginia,15.1,12.8,17.6
2002,Wisconsin,6.3,5.1,7.9
2002,Wyoming,7.4,6,9
2002,Guam,15.5,10.6,22
2002,Puerto Rico,16.5,14.2,19.1
2002,Virgin Islands of the U.S.,14.2,11.5,17.3
2003,Alabama,12.2,10.3,14.3
2003,Alaska,6.9,4.9,9.7
2003,Arizona,8.2,6.3,10.7
2003,Arkansas,10.8,9.2,12.6
2003,California,9.7,8,11.8
2003,Colorado,7.1,5.8,8.7
2003,Connecticut,7.2,6,8.7
2003,Delaware,11.1,9.1,13.4
2003,District of Columbia,12.1,9.2,15.6
2003,Florida,12.9,10.6,15.7
2003,Georgia,12,10.5,13.6
2003,Hawaii,11,8.9,13.4
2003,Idaho,9.1,7.5,10.9
2003,Illinois,10.7,9.2,12.5
2003,Indiana,11.7,10.2,13.4
2003,Iowa,8.3,7,9.9
2003,Kansas,7.6,6.3,9.2
2003,Kentucky,12.9,11.3,14.8
2003,Louisiana,13.1,11.4,15.1
2003,Maine,8.6,6.9,10.8
2003,Maryland,8.6,7.1,10.5
2003,Massachusetts,7.5,6.3,8.9
2003,Michigan,11.7,9.9,13.8
2003,Minnesota,8.1,6.6,9.8
2003,Mississippi,16.5,14.5,18.7
2003,Missouri,9.6,7.7,11.8
2003,Montana,7.3,5.8,9.1
2003,Nebraska,8.2,6.8,9.8
2003,Nevada,8.3,6.2,11.1
2003,New Hampshire,6.7,5.6,7.9
2003,New Jersey,9.6,8.5,10.8
2003,New Mexico,7.9,6.6,9.4
2003,New York,11.5,9.7,13.5
2003,North Carolina,11.9,10.4,13.6
2003,North Dakota,6.3,5,8
2003,Ohio,11,9.1,13.2
2003,Oklahoma,10,8.9,11.3
2003,Oregon,8.5,7,10.4
2003,Pennsylvania,10.8,8.9,13
2003,Rhode Island,8.3,6.8,10.1
2003,South Carolina,14.6,12.9,16.4
2003,South Dakota,8.6,7.2,10.2
2003,Tennessee,13.6,11.4,16.1
2003,Texas,13.3,11.6,15.2
2003,Utah,9,7.1,11.3
2003,Vermont,6.7,5.5,8.2
2003,Virginia,11.1,9.4,13.1
2003,Washington,9.2,8.4,10.1
2003,West Virginia,12.7,10.9,14.8
2003,Wisconsin,8.2,6.6,10.2
2003,Wyoming,8.1,6.7,9.7
2003,Guam,18.2,13.1,24.9
2003,Puerto Rico,16.5,14.2,19
2003,Virgin Islands of the U.S.,15.1,12.1,18.7
2004,Alabama,10.7,9,12.6
2004,Alaska,7.3,5.3,9.9
2004,Arizona,8.4,6.5,10.9
2004,Arkansas,11,9.5,12.7
2004,California,10.2,8.3,12.4
2004,Colorado,6.7,5.4,8.2
2004,Connecticut,7.2,6.1,8.5
2004,Delaware,8,6.4,9.9
2004,District of Columbia,13.2,10.7,16.1
2004,Florida,11.7,9.9,13.7
2004,Georgia,11,9.2,13
2004,Idaho,8.4,7.1,10
2004,Illinois,9.1,7.4,11.2
2004,Indiana,10.7,9.3,12.2
2004,Iowa,8.4,7.1,10
2004,Kansas,8.1,7.2,9.3
2004,Kentucky,10.2,8.8,11.8
2004,Louisiana,12.5,11.1,14
2004,Maine,9.8,8.1,11.8
2004,Maryland,8.6,7.1,10.3
2004,Massachusetts,7.5,6.4,8.8
2004,Michigan,11.5,10,13.2
2004,Minnesota,6.5,5.4,7.9
2004,Mississippi,13.8,12.2,15.6
2004,Missouri,10.4,8.8,12.3
2004,Montana,8,6.6,9.5
2004,Nebraska,8.5,7.3,9.8
2004,Nevada,10.1,7.8,12.9
2004,New Hampshire,8.5,7.3,10
2004,New Jersey,8.9,8,10
2004,New Mexico,8.9,7.5,10.5
2004,New York,11.1,9.4,13
2004,North Carolina,12.3,11.2,13.4
2004,North Dakota,7.4,5.9,9.3
2004,Ohio,10.2,8.2,12.6
2004,Oklahoma,11.9,10.5,13.4
2004,Oregon,8.9,7.5,10.5
2004,Pennsylvania,10.3,9,11.9
2004,Rhode Island,7.7,6.4,9.4
2004,South Carolina,12.1,10.7,13.6
2004,South Dakota,8.1,6.9,9.5
2004,Tennessee,13.1,11,15.6
2004,Texas,11.9,10.4,13.7
2004,Utah,6.5,5.2,8
2004,Vermont,6.7,5.7,7.7
2004,Virginia,10.8,9.2,12.7
2004,Washington,8.9,8.1,9.8
2004,West Virginia,14.3,12.3,16.5
2004,Wisconsin,7.8,6.4,9.4
2004,Wyoming,7,5.8,8.6
2004,Puerto Rico,17.5,15.3,20.1
2004,Virgin Islands of the U.S.,12.5,10.3,15
2004,Hawaii,No Data,No Data,No Data
2004,Guam,No Data,No Data,No Data
2005,Alabama,14.2,12.1,16.7
2005,Alaska,5.7,4.3,7.5
2005,Arizona,8.9,6.9,11.4
2005,Arkansas,12.6,11.1,14.3
2005,California,10.2,8.6,12.1
2005,Colorado,6.1,5.1,7.3
2005,Connecticut,8.8,7.4,10.4
2005,Delaware,11.2,9.3,13.6
2005,District of Columbia,12.5,10.3,15.1
2005,Florida,10.5,9.1,12
2005,Georgia,11.5,9.9,13.3
2005,Hawaii,9.9,8.3,11.8
2005,Idaho,9.9,8.5,11.5
2005,Illinois,12.2,10.2,14.5
2005,Indiana,11.3,9.8,12.9
2005,Iowa,8.8,7.5,10.3
2005,Kansas,9.3,8.3,10.5
2005,Kentucky,13.9,12.1,15.9
2005,Louisiana,13.5,11.5,16
2005,Maine,9.1,7.6,10.8
2005,Maryland,9.9,8.7,11.2
2005,Massachusetts,9.3,8.1,10.6
2005,Michigan,11.1,10.1,12.2
2005,Minnesota,7.4,5.8,9.3
2005,Mississippi,13.4,11.7,15.1
2005,Missouri,10.6,9,12.4
2005,Montana,6.6,5.4,8.1
2005,Nebraska,8.7,7.5,10
2005,Nevada,9.8,7.5,12.6
2005,New Hampshire,7.7,6.6,9
2005,New Jersey,10.7,9.5,11.9
2005,New Mexico,9.7,8.3,11.3
2005,New York,11.8,10.2,13.5
2005,North Carolina,12.9,11.9,13.9
2005,North Dakota,7.3,5.9,8.8
2005,Ohio,10.7,9.1,12.5
2005,Oklahoma,12.4,11.1,13.9
2005,Oregon,8.9,8,9.9
2005,Pennsylvania,9.4,8.3,10.6
2005,Rhode Island,8.1,6.6,9.8
2005,South Carolina,15.3,13.9,16.8
2005,South Dakota,8,6.9,9.3
2005,Tennessee,13.9,11.9,16.2
2005,Texas,14.1,12.5,15.9
2005,Utah,8.9,7.4,10.7
2005,Vermont,7.1,6.1,8.2
2005,Virginia,9,7.7,10.6
2005,Washington,9.2,8.4,10
2005,West Virginia,12.6,10.8,14.6
2005,Wisconsin,8.1,6.8,9.6
2005,Wyoming,7.9,6.6,9.3
2005,Puerto Rico,18.3,16.1,20.8
2005,Virgin Islands of the U.S.,11.2,9,13.9
2005,Guam,No Data,No Data,No Data
2006,Alabama,13.3,11.3,15.5
2006,Alaska,8.5,6.1,11.8
2006,Arizona,14,11.1,17.4
2006,Arkansas,11.2,9.8,12.8
2006,California,12.4,10.6,14.6
2006,Colorado,7.4,6.3,8.7
2006,Connecticut,8.1,7.1,9.3
2006,Delaware,10.4,8.6,12.5
2006,District of Columbia,13.5,11.4,15.8
2006,Florida,11.7,10.4,13.2
2006,Georgia,13.8,12.4,15.5
2006,Hawaii,12.3,10.5,14.3
2006,Idaho,10.1,8.5,12
2006,Illinois,11.3,9.6,13.3
2006,Indiana,10,8.8,11.4
2006,Iowa,9.4,8.1,10.9
2006,Kansas,9.1,8.1,10.2
2006,Kentucky,15.4,13.4,17.5
2006,Louisiana,14.2,12.7,15.7
2006,Maine,7.8,6.5,9.3
2006,Maryland,11,9.7,12.5
2006,Massachusetts,8,7.1,9.1
2006,Michigan,12.6,11.2,14.3
2006,Minnesota,7.8,6.5,9.2
2006,Mississippi,16.2,14.6,17.9
2006,Missouri,11,9,13.3
2006,Montana,8.1,6.9,9.3
2006,Nebraska,9.7,8.4,11.1
2006,Nevada,9.2,7.4,11.4
2006,New Hampshire,9.1,7.9,10.5
2006,New Jersey,10.4,9.4,11.6
2006,New Mexico,10.5,9.2,12
2006,New York,11.7,10.1,13.4
2006,North Carolina,12.4,11.4,13.5
2006,North Dakota,8.4,7,10
2006,Ohio,8.6,6.9,10.6
2006,Oklahoma,15,13.4,16.7
2006,Oregon,7.7,6.5,9
2006,Pennsylvania,11.6,10,13.3
2006,Rhode Island,8.8,7.4,10.6
2006,South Carolina,14.2,12.8,15.7
2006,South Dakota,8,7,9.3
2006,Tennessee,14.8,12.7,17.1
2006,Texas,12.8,10.9,15
2006,Utah,8.7,7.3,10.4
2006,Vermont,7.4,6.5,8.5
2006,Virginia,10.9,8.7,13.6
2006,Washington,9.9,9.1,10.7
2006,West Virginia,15.8,14,17.9
2006,Wisconsin,8.5,7.2,10
2006,Wyoming,8.9,7.6,10.4
2006,Puerto Rico,17.1,15.2,19.1
2006,Virgin Islands of the U.S.,13.7,11.6,16
2006,Guam,No Data,No Data,No Data
2007,Alabama,13.9,12.4,15.5
2007,Alaska,8.6,6.2,11.8
2007,Arizona,12.7,10.1,16
2007,Arkansas,13.3,11.8,14.9
2007,California,10.6,9.2,12.3
2007,Colorado,7.4,6.6,8.4
2007,Connecticut,8.5,7.3,9.9
2007,Delaware,11.2,9.4,13.4
2007,District of Columbia,12.5,10.5,14.7
2007,Florida,10.9,9.9,12.1
2007,Georgia,14.6,13.2,16.2
2007,Hawaii,10.3,8.8,12
2007,Idaho,10.8,9.3,12.5
2007,Illinois,11.9,10.2,13.9
2007,Indiana,12.4,10.9,14.2
2007,Iowa,8.4,7.2,9.8
2007,Kansas,10.1,9.1,11.3
2007,Kentucky,14.4,12.7,16.2
2007,Louisiana,13.9,12.4,15.5
2007,Maine,9.4,8.3,10.7
2007,Maryland,11.7,10.3,13.2
2007,Massachusetts,9.5,8.7,10.5
2007,Michigan,11.4,10.1,12.7
2007,Minnesota,8,6.7,9.4
2007,Mississippi,15.4,13.9,16.9
2007,Missouri,11.9,10,14.1
2007,Montana,7.9,6.8,9.2
2007,Nebraska,9.7,8.1,11.6
2007,Nevada,11,8.9,13.6
2007,New Hampshire,9.3,8,10.7
2007,New Jersey,12.1,10.5,13.9
2007,New Mexico,10.1,8.8,11.6
2007,New York,12.6,11,14.3
2007,North Carolina,13.3,12.2,14.5
2007,North Dakota,8.3,7,9.8
2007,Ohio,12.9,11.7,14.1
2007,Oklahoma,14.2,12.7,15.9
2007,Oregon,9.6,8.2,11.2
2007,Pennsylvania,10.2,8.9,11.6
2007,Rhode Island,10,8.5,11.7
2007,South Carolina,13.3,12.1,14.6
2007,South Dakota,8,6.8,9.3
2007,Tennessee,15.4,13.3,17.8
2007,Texas,14.5,13.4,15.7
2007,Utah,9.8,8.3,11.6
2007,Vermont,8.5,7.5,9.7
2007,Virginia,10.9,9.5,12.5
2007,Washington,9.6,8.9,10.3
2007,West Virginia,14.4,12.7,16.2
2007,Wisconsin,8.4,7.1,9.8
2007,Wyoming,8.5,7.4,9.7
2007,Guam,19.2,13.7,26.3
2007,Puerto Rico,20.1,17.8,22.5
2007,Virgin Islands of the U.S.,13.3,11.1,15.8
2008,Alabama,15.8,14.2,17.6
2008,Alaska,8.1,6.1,10.7
2008,Arizona,10.7,8.4,13.6
2008,Arkansas,12.7,11.1,14.4
2008,California,12.3,11.1,13.7
2008,Colorado,8,7.1,8.9
2008,Connecticut,8.2,7,9.7
2008,Delaware,10.7,8.7,13
2008,District of Columbia,11.9,10.2,13.9
2008,Florida,13.5,11.7,15.5
2008,Georgia,13.6,11.9,15.4
2008,Hawaii,10.7,9.2,12.4
2008,Idaho,9.9,8.5,11.5
2008,Illinois,12.8,11,14.8
2008,Indiana,13,11.3,15
2008,Iowa,9.1,7.9,10.5
2008,Kansas,10.9,9.8,12.1
2008,Kentucky,13.1,11.7,14.6
2008,Louisiana,14.9,13.4,16.5
2008,Maine,9.4,8.3,10.7
2008,Maryland,12.4,11,13.9
2008,Massachusetts,8.8,7.9,9.7
2008,Michigan,12.6,11.4,14
2008,Minnesota,7.5,6.2,9
2008,Mississippi,15.2,13.8,16.7
2008,Missouri,12.4,10.7,14.4
2008,Montana,7.4,6.4,8.6
2008,Nebraska,10.1,8.9,11.5
2008,Nevada,12.7,10.4,15.4
2008,New Hampshire,8.6,7.5,9.8
2008,New Jersey,11.3,10.1,12.6
2008,New Mexico,10.8,9.3,12.5
2008,New York,11.4,10,12.9
2008,North Carolina,12.9,11.9,14.1
2008,North Dakota,8.7,7.4,10.1
2008,Ohio,12.7,11.6,13.9
2008,Oklahoma,13.1,11.8,14.6
2008,Oregon,9.1,7.8,10.6
2008,Pennsylvania,10.8,9.6,12.1
2008,Rhode Island,8.8,7.5,10.4
2008,South Carolina,15,13.3,16.8
2008,South Dakota,8.6,7.4,9.9
2008,Tennessee,13.2,11.4,15.1
2008,Texas,14.6,13.1,16.3
2008,Utah,8.4,7,10.1
2008,Vermont,7.6,6.7,8.7
2008,Virginia,11.2,9.7,12.9
2008,Washington,9.1,8.4,9.8
2008,West Virginia,14.7,13.1,16.6
2008,Wisconsin,8.1,6.9,9.6
2008,Wyoming,9.4,8.4,10.5
2008,Guam,14.3,10.2,19.6
2008,Puerto Rico,17.9,16,20.1
2008,Virgin Islands of the U.S.,13.7,11.4,16.2
2009,Alabama,17,15.1,19.1
2009,Alaska,8.3,6.3,10.9
2009,Arizona,12.4,10.3,15
2009,Arkansas,14,12.1,16.1
2009,California,14.1,13,15.3
2009,Colorado,7.7,6.8,8.7
2009,Connecticut,8.5,7.3,9.9
2009,Delaware,11,9.3,13.1
2009,District of Columbia,11,9.3,13
2009,Florida,12.4,10.8,14.1
2009,Georgia,13.3,11.7,15.1
2009,Hawaii,11,9.5,12.7
2009,Idaho,10.8,9.3,12.5
2009,Illinois,10.2,8.8,11.8
2009,Indiana,13.5,12.2,14.9
2009,Iowa,8.8,7.6,10.1
2009,Kansas,10.9,10.1,11.6
2009,Kentucky,15.7,14,17.5
2009,Louisiana,13.9,12.6,15.2
2009,Maine,11,9.9,12.2
2009,Maryland,12,10.7,13.5
2009,Massachusetts,10,9,11.1
2009,Michigan,12.2,11,13.4
2009,Minnesota,8.1,7,9.4
2009,Mississippi,16.6,15.3,18
2009,Missouri,10.6,9,12.5
2009,Montana,8,6.9,9.2
2009,Nebraska,9.4,8.3,10.6
2009,Nevada,10.2,8,12.8
2009,New Hampshire,8.7,7.4,10.1
2009,New Jersey,10,8.9,11.1
2009,New Mexico,11.3,10.1,12.6
2009,New York,12.1,10.5,13.9
2009,North Carolina,13.6,12.3,15
2009,North Dakota,9.7,8.4,11.2
2009,Ohio,12.4,11.2,13.6
2009,Oklahoma,14.8,13.4,16.3
2009,Oregon,10,8.5,11.6
2009,Pennsylvania,10.9,9.7,12.3
2009,Rhode Island,9.6,8.4,11
2009,South Carolina,14.7,13.1,16.4
2009,South Dakota,9.1,8,10.5
2009,Tennessee,13.8,12.1,15.8
2009,Texas,13.7,12.2,15.3
2009,Utah,9.4,8.4,10.6
2009,Vermont,7.9,6.9,9
2009,Virginia,11.3,9.8,13
2009,Washington,10,9.3,10.8
2009,West Virginia,15,13.3,16.8
2009,Wisconsin,11,9.1,13.2
2009,Wyoming,9.9,8.7,11.3
2009,Guam,15,11.8,18.8
2009,Puerto Rico,18.3,16.3,20.5
2009,Virgin Islands of the U.S.,11.8,9.7,14.3
2010,Alabama,15.5,13.9,17.3
2010,Alaska,7.7,5.4,10.7
2010,Arizona,11.5,9.4,14
2010,Arkansas,13.1,11.3,15.2
2010,California,12.7,11.8,13.8
2010,Colorado,8.1,7.2,9.1
2010,Connecticut,8.9,7.6,10.3
2010,Delaware,11.1,9.4,13
2010,District of Columbia,8.8,7.2,10.7
2010,Florida,11.6,10.4,12.8
2010,Georgia,13.7,12.1,15.4
2010,Hawaii,10.3,8.9,11.9
2010,Idaho,10.6,9.2,12.2
2010,Illinois,11.5,9.9,13.3
2010,Indiana,13.2,11.9,14.7
2010,Iowa,10.2,8.9,11.6
2010,Kansas,11.3,10.2,12.5
2010,Kentucky,14.2,12.6,15.9
2010,Louisiana,14.5,13.1,16
2010,Maine,10.7,9.6,11.8
2010,Maryland,12.1,10.8,13.5
2010,Massachusetts,9,8.2,10
2010,Michigan,13,11.7,14.3
2010,Minnesota,7.7,6.6,8.9
2010,Mississippi,17.9,16.3,19.6
2010,Missouri,12.9,11,15.1
2010,Montana,8.6,7.4,10.1
2010,Nebraska,9.6,8.5,10.9
2010,Nevada,10.2,8.1,12.7
2010,New Hampshire,8.7,7.5,10
2010,New Jersey,12.3,11,13.6
2010,New Mexico,11,9.7,12.4
2010,New York,12.5,11.2,13.9
2010,North Carolina,14,12.7,15.4
2010,North Dakota,9.8,8.4,11.4
2010,Ohio,12.5,11.3,13.7
2010,Oklahoma,14.3,13,15.7
2010,Oregon,8.9,7.7,10.3
2010,Pennsylvania,12.3,11,13.7
2010,Rhode Island,9.7,8.4,11.1
2010,South Carolina,13.4,11.9,15.1
2010,South Dakota,8.6,7.4,9.9
2010,Tennessee,15.2,13.3,17.4
2010,Texas,14,12.7,15.4
2010,Utah,9.7,8.7,10.9
2010,Vermont,8.1,7,9.2
2010,Virginia,11.5,9.7,13.6
2010,Washington,9.8,9.1,10.7
2010,West Virginia,15.7,14,17.7
2010,Wisconsin,8.9,7.6,10.5
2010,Wyoming,9,7.8,10.3
2010,Guam,20.3,15.4,26.3
2010,Puerto Rico,18.9,16.6,21.4
2010,Virgin Islands of the U.S.,11.4,9,14.4
2011,Alabama,16.2,14.5,18.1
2011,Alaska,10.5,8.7,12.7
2011,Arizona,13.2,10.9,16
2011,Arkansas,15.5,13.4,17.8
2011,California,12.4,11.3,13.7
2011,Colorado,8.4,7.4,9.5
2011,Connecticut,11.1,9.5,13
2011,Delaware,12.2,10.3,14.3
2011,District of Columbia,13.7,11.8,16
2011,Florida,13.1,11.8,14.6
2011,Georgia,14.1,12.8,15.5
2011,Hawaii,10.4,9,11.9
2011,Idaho,12.7,10.9,14.9
2011,Illinois,12.3,10.6,14.3
2011,Indiana,14,12.5,15.6
2011,Iowa,11.3,10,12.8
2011,Kansas,13.1,12.3,14
2011,Kentucky,15.3,13.9,16.9
2011,Louisiana,15.3,13.8,16.9
2011,Maine,11.8,10.8,12.8
2011,Maryland,12.1,10.7,13.7
2011,Massachusetts,9.8,9,10.8
2011,Michigan,12.8,11.5,14.1
2011,Minnesota,9,8.1,10
2011,Mississippi,19,17.4,20.7
2011,Missouri,13.8,12,15.7
2011,Montana,9.3,8.1,10.6
2011,Nebraska,11.5,10.5,12.6
2011,Nevada,14.7,11.9,18
2011,New Hampshire,11,9.6,12.6
2011,New Jersey,11,9.9,12.1
2011,New Mexico,13.9,12.6,15.3
2011,New York,14,12.4,15.7
2011,North Carolina,15.3,13.8,17
2011,North Dakota,11.7,10.2,13.5
2011,Ohio,13.4,12.2,14.9
2011,Oklahoma,15,13.5,16.6
2011,Oregon,13,11.3,14.8
2011,Pennsylvania,11.3,10.1,12.5
2011,Rhode Island,10.5,9.1,12
2011,South Carolina,15.2,13.8,16.8
2011,South Dakota,11.2,9.3,13.4
2011,Tennessee,13.9,11.6,16.7
2011,Texas,16.4,14.8,18.2
2011,Utah,10.3,9.2,11.4
2011,Vermont,9.8,8.6,11.1
2011,Virginia,14.8,12.8,17
2011,Washington,12.3,11.1,13.7
2011,West Virginia,17.2,15.4,19.1
2011,Wisconsin,11.4,9.6,13.4
2011,Wyoming,11.1,9.3,13.1
2011,Guam,16.7,13.2,20.8
2011,Puerto Rico,19.3,17.4,21.4
2011,Virgin Islands of the U.S.,No Data,No Data,No Data
2012,Alabama,16.9,15.3,18.6
2012,Alaska,9.1,7.5,11.1
2012,Arizona,15.2,12.9,17.8
2012,Arkansas,15.5,13.7,17.6
2012,California,13.9,12.5,15.3
2012,Colorado,9.9,8.9,11.1
2012,Connecticut,11.4,9.9,13.1
2012,Delaware,12.5,10.6,14.6
2012,District of Columbia,14.2,11.6,17.2
2012,Florida,15,13,17.2
2012,Georgia,13.7,12,15.4
2012,Hawaii,10.9,9.1,13
2012,Idaho,11.1,9.2,13.4
2012,Illinois,12.4,10.6,14.5
2012,Indiana,15,13.6,16.6
2012,Iowa,11.9,10.6,13.4
2012,Kansas,12.2,11,13.5
2012,Kentucky,14.5,13,16.1
2012,Louisiana,17.6,15.8,19.6
2012,Maine,10.9,9.9,12.1
2012,Maryland,14,12.5,15.6
2012,Massachusetts,10,9.1,11
2012,Michigan,13.4,12.1,14.9
